object_name,object_type,collection_path,all_collections,parent,triangles,vertices,material,hide_viewport,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,centroid_x,centroid_y,centroid_z
Lymph node,MESH,,,,168,86,Lymph-1,0,-0.001,-0.001,-0.001,0.001,0.001,0.001,0.0,-0.0,0.0
HOW TO ...,MESH,Scene Collection,Scene Collection,,357,369,Text,0,0.0027,-0.0413,-0.0509,0.19,-0.0001,-0.0239,0.0964,-0.0207,-0.0374
Take a picture,MESH,Scene Collection,Scene Collection,,0,0,,0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.1
Tracking camera,CAMERA,Scene Collection,Scene Collection,Take a picture,0,0,,0,0.0,-3.5,1.1,0.0,-3.5,1.1,0.0,-3.5,1.1
(Canal for vertebral artery).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,(Canal for vertebral artery).t,0,2,,0,-0.0359,0.0133,1.5436,-0.0305,0.0133,1.5525,-0.0332,0.0133,1.5481
(Canal for vertebral artery).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,Atlas (C1),0,0,Text,0,-0.0519,0.0133,1.5524,-0.0198,0.0133,1.5543,-0.0359,0.0133,1.5533
(External occipital crest).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,(External occipital crest).t,0,2,,0,-0.0,0.0769,1.56,-0.0,0.0782,1.57,-0.0,0.0775,1.565
(External occipital crest).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,Occipital bone,0,0,Text,0,-0.0145,0.0782,1.5612,0.0145,0.0782,1.5632,-0.0,0.0782,1.5622
(Internal occipital crest).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,(Internal occipital crest).t,0,2,,0,-0.0,0.0568,1.5662,-0.0,0.0646,1.5734,-0.0,0.0607,1.5698
(Internal occipital crest).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,Occipital bone,0,0,Text,0,-0.0143,0.0568,1.5746,0.0143,0.0568,1.5766,-0.0,0.0568,1.5756
