sourceName,region,system,side,signal,detail,triangles
Articular capsule of temporomandibular joint.l,head-jaw,articular,l,hierarchy,Joints of skull,200
Articular capsule of temporomandibular joint.r,head-jaw,articular,r,hierarchy,Joints of skull,200
Articular disc of temporomandibular joint.l,head-jaw,articular,l,hierarchy,Joints of skull,288
Articular disc of temporomandibular joint.r,head-jaw,articular,r,hierarchy,Joints of skull,288
Lateral temporomandibular ligament.l,head-jaw,articular,l,hierarchy,Joints of skull,24
Lateral temporomandibular ligament.r,head-jaw,articular,r,hierarchy,Joints of skull,24
Pterygospinous ligament.l,head-jaw,articular,l,hierarchy,Joints of skull,2
Pterygospinous ligament.r,head-jaw,articular,r,hierarchy,Joints of skull,2
Sphenomandibular ligament.l,head-jaw,articular,l,hierarchy,Joints of skull,26
Sphenomandibular ligament.r,head-jaw,articular,r,hierarchy,Joints of skull,26
Stylohyoid ligament.l,head-jaw,articular,l,hierarchy,Joints of skull,156
Stylohyoid ligament.r,head-jaw,articular,r,hierarchy,Joints of skull,156
Stylomandibular ligament.l,head-jaw,articular,l,hierarchy,Joints of skull,10
Stylomandibular ligament.r,head-jaw,articular,r,hierarchy,Joints of skull,10
Bucinator.o1l,head-jaw,insertion,l,parent,Bucinator.l,22
Bucinator.o1r,head-jaw,insertion,r,parent,Bucinator.r,22
Bucinator.ol,head-jaw,insertion,l,parent,Bucinator.l,25
Bucinator.or,head-jaw,insertion,r,parent,Bucinator.r,25
Depressor anguli oris.ol,head-jaw,insertion,l,parent,Depressor anguli oris.l,17
Depressor anguli oris.or,head-jaw,insertion,r,parent,Depressor anguli oris.r,17
Depressor labii inferioris.ol,head-jaw,insertion,l,parent,Depressor labii inferioris.l,23
Depressor labii inferioris.or,head-jaw,insertion,r,parent,Depressor labii inferioris.r,23
Depressor septi nasi.ol,head-jaw,insertion,l,parent,Depressor septi nasi.l,25
Depressor septi nasi.or,head-jaw,insertion,r,parent,Depressor septi nasi.r,25
Frontalis muscle.ol,head-jaw,insertion,l,parent,Frontalis muscle.l,77
Frontalis muscle.or,head-jaw,insertion,r,parent,Frontalis muscle.r,77
Lateral pterygoid muscle.o1l,head-jaw,insertion,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,27
Lateral pterygoid muscle.o1r,head-jaw,insertion,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,27
Lateral pterygoid muscle.ol,head-jaw,insertion,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,59
Lateral pterygoid muscle.or,head-jaw,insertion,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,59
Levator anguli oris.ol,head-jaw,insertion,l,parent,Levator anguli oris.l,20
Levator anguli oris.or,head-jaw,insertion,r,parent,Levator anguli oris.r,20
Levator labii superioris.ol,head-jaw,insertion,l,parent,Levator labii superioris.l,69
Levator labii superioris.or,head-jaw,insertion,r,parent,Levator labii superioris.r,69
Levator nasolabialis.ol,head-jaw,insertion,l,parent,Levator nasolabialis.l,24
Levator nasolabialis.or,head-jaw,insertion,r,parent,Levator nasolabialis.r,24
Masseter.el,head-jaw,insertion,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,39
Masseter.er,head-jaw,insertion,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,39
Masseter.o1l,head-jaw,insertion,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,70
Masseter.o1r,head-jaw,insertion,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,70
Masseter.ol,head-jaw,insertion,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,92
Masseter.or,head-jaw,insertion,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,92
Medial pterygoid muscle.el,head-jaw,insertion,l,parent,Medial pterygoid muscle.l,21
Medial pterygoid muscle.er,head-jaw,insertion,r,parent,Medial pterygoid muscle.r,21
Medial pterygoid muscle.ol,head-jaw,insertion,l,parent,Medial pterygoid muscle.l,45
Medial pterygoid muscle.or,head-jaw,insertion,r,parent,Medial pterygoid muscle.r,45
Mentalis muscle.ol,head-jaw,insertion,l,parent,Mentalis muscle.l,4
Mentalis muscle.or,head-jaw,insertion,r,parent,Mentalis muscle.r,4
Nasalis muscle.ol,head-jaw,insertion,l,parent,Nasalis muscle.l,34
Nasalis muscle.or,head-jaw,insertion,r,parent,Nasalis muscle.r,34
Occipitalis muscle.ol,head-jaw,insertion,l,parent,Occipitalis muscle.l,31
Occipitalis muscle.or,head-jaw,insertion,r,parent,Occipitalis muscle.r,31
Orbicularis oris muscle.ol,head-jaw,insertion,l,parent,Orbicularis oris muscle.l,10
Orbicularis oris muscle.or,head-jaw,insertion,r,parent,Orbicularis oris muscle.r,10
Orbital part of orbicularis oculi.ol,head-jaw,insertion,l,parent,Orbital part of orbicularis oculi.l,16
Orbital part of orbicularis oculi.or,head-jaw,insertion,r,parent,Orbital part of orbicularis oculi.r,16
